datetime,source,ip,port,status
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.114,22,22/closed
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.114,80,80/closed
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.114,443,443/closed
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.144,22,22/closed
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.144,80,80/closed
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.144,443,443/closed
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.157,22,22/filtered
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.157,80,80/filtered
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.157,443,443/filtered
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.168,22,22/closed
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.168,80,80/closed
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.168,443,443/closed
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.173,22,22/closed
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.173,80,80/closed
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.173,443,443/closed
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.254,22,22/closed
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.254,80,80/open
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.254,443,443/open
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.36,22,22/filtered
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.36,80,80/filtered
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.36,443,443/filtered
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.45,22,22/filtered
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.45,80,80/filtered
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.45,443,443/filtered
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.68,22,22/closed
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.68,80,80/closed
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.68,443,443/closed
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.72,22,22/filtered
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.72,80,80/filtered
2025-05-29T18:22:44.455474,192.168.1.144,192.168.1.72,443,443/filtered
